epoch,train_loss,train_ce,train_weight_pen,train_volume_pen,val_loss,val_weight_pen,val_volume_pen,train_acc,val_acc,priority_acc,lr
187,0.796542,0.75139,3.420608,14.640327,0.780365,3.693097,16.006026,0.723,0.7314,0.7257,1.037e-05
188,0.796516,0.751513,3.420301,14.580689,0.77757,3.76259,16.216361,0.7236,0.7329,0.7221,1.023e-05
189,0.799557,0.754385,3.434013,14.634866,0.778521,3.784859,16.222601,0.7236,0.7333,0.7278,1.009e-05
190,0.796032,0.751001,3.418958,14.593464,0.77366,3.790517,16.31512,0.724,0.7342,0.7295,9.95e-06
191,0.797546,0.75248,3.424986,14.601259,0.773767,3.77002,16.284289,0.722,0.7354,0.7283,9.82e-06
192,0.796265,0.751267,3.410307,14.588677,0.772893,3.73927,16.080288,0.7239,0.7354,0.7271,9.68e-06
193,0.798504,0.753325,3.434869,14.636479,0.776176,3.752525,16.176312,0.7233,0.7328,0.7243,9.55e-06
194,0.797144,0.752113,3.426976,14.585279,0.773591,3.73139,16.096142,0.7238,0.7328,0.7254,9.41e-06
195,0.794723,0.749773,3.416209,14.563766,0.772021,3.711275,15.946576,0.7242,0.7332,0.7283,9.28e-06
196,0.79604,0.751124,3.417312,14.549132,0.772642,3.717098,16.044251,0.723,0.7341,0.7314,9.15e-06
197,0.79733,0.752319,3.420247,14.584202,0.773559,3.768083,16.14643,0.7238,0.7343,0.7254,9.02e-06
198,0.795788,0.750653,3.437012,14.616768,0.781295,3.788474,16.383066,0.724,0.7309,0.7205,8.89e-06
199,0.794911,0.749817,3.422611,14.614969,0.780008,3.831255,16.405687,0.7243,0.7327,0.725,8.75e-06
200,0.791478,0.746604,3.420242,14.529256,0.775579,3.752324,16.092863,0.7263,0.7329,0.7195,8.63e-06
201,0.795615,0.750603,3.429048,14.575771,0.771814,3.779215,16.088477,0.7243,0.7349,0.728,8.5e-06
202,0.79557,0.750684,3.426205,14.528478,0.773111,3.766061,16.159347,0.7239,0.7344,0.7236,8.37e-06
203,0.794927,0.74999,3.414903,14.560012,0.77247,3.77987,16.203246,0.7244,0.735,0.7292,8.24e-06
204,0.791591,0.746648,3.432723,14.544455,0.770012,3.709361,15.996003,0.725,0.7339,0.7278,8.11e-06
205,0.790557,0.745824,3.409623,14.483871,0.771703,3.783724,16.191896,0.7255,0.7362,0.7309,7.99e-06
206,0.793924,0.749022,3.42958,14.531018,0.769375,3.792574,16.172116,0.725,0.7354,0.7276,7.86e-06
207,0.79263,0.747674,3.425435,14.556899,0.767153,3.719044,15.98003,0.7256,0.7359,0.7285,7.74e-06
208,0.79222,0.74732,3.427274,14.532675,0.779162,3.819682,16.440968,0.7253,0.7334,0.7262,7.62e-06
209,0.792331,0.747419,3.421587,14.543108,0.76551,3.742915,15.898192,0.7248,0.7372,0.7342,7.5e-06
210,0.792393,0.747747,3.406754,14.451447,0.768327,3.781352,16.135571,0.7253,0.7363,0.7297,7.37e-06
211,0.788239,0.743399,3.43496,14.501211,0.772295,3.792496,16.15413,0.7266,0.7337,0.724,7.25e-06
212,0.792427,0.747858,3.402146,14.425425,0.76629,3.730291,15.910756,0.7252,0.7362,0.7321,7.13e-06
213,0.790302,0.745338,3.447309,14.538405,0.771834,3.784873,16.144086,0.7258,0.7352,0.7306,7.02e-06
214,0.787548,0.742888,3.41691,14.447191,0.764307,3.699406,15.781256,0.7273,0.7363,0.7325,6.9e-06
215,0.790128,0.745345,3.433827,14.479467,0.765742,3.758008,15.930099,0.7272,0.7364,0.7332,6.78e-06
216,0.78788,0.743064,3.434396,14.491866,0.775203,3.784195,16.064745,0.7276,0.7337,0.7212,6.67e-06
217,0.78939,0.744649,3.42393,14.472378,0.766514,3.721051,15.831088,0.727,0.7358,0.7295,6.55e-06
218,0.789711,0.744945,3.424599,14.481708,0.766626,3.75347,15.942362,0.7263,0.7351,0.729,6.44e-06
219,0.79017,0.745514,3.424024,14.438347,0.767653,3.790071,16.089926,0.7259,0.7362,0.7325,6.33e-06
220,0.786972,0.742377,3.408381,14.429559,0.770511,3.810988,16.167678,0.726,0.7361,0.7332,6.21e-06
221,0.790332,0.745567,3.417323,14.488539,0.767742,3.763179,15.991076,0.7262,0.7358,0.7302,6.1e-06
222,0.788644,0.744002,3.427039,14.429481,0.765739,3.732875,15.858851,0.7264,0.7357,0.7299,6e-06
223,0.787768,0.743042,3.425918,14.464379,0.761332,3.709766,15.666353,0.7265,0.7359,0.7299,5.89e-06
224,0.788674,0.744298,3.390985,14.359491,0.769368,3.835721,16.210992,0.7267,0.7374,0.7335,5.78e-06
225,0.785439,0.740798,3.43112,14.425495,0.765834,3.781968,15.977032,0.7271,0.736,0.7311,5.67e-06
226,0.786469,0.741793,3.431866,14.438805,0.76632,3.764263,15.900585,0.728,0.7368,0.728,5.57e-06
227,0.786661,0.74186,3.439783,14.480842,0.762665,3.732267,15.810976,0.7264,0.7384,0.7344,5.46e-06
228,0.786772,0.742362,3.405925,14.358065,0.766056,3.769798,15.963586,0.7277,0.7368,0.7347,5.36e-06
229,0.787104,0.742404,3.423758,14.456216,0.761191,3.734338,15.780339,0.7279,0.738,0.7337,5.26e-06
230,0.786566,0.741799,3.436999,14.469717,0.764628,3.812612,16.083371,0.7273,0.7386,0.7351,5.16e-06
231,0.787104,0.742392,3.440139,14.444777,0.762373,3.750606,15.838464,0.7276,0.7378,0.7335,5.06e-06
